,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_get_sma(C,30)","Exit_get_sma(C,30)","Entry_get_sma(C,60)","Exit_get_sma(C,60)"
91,45,4530,4635,2625.6669921875,2955.97216796875,,,12351.995288085938,2511.7376220703127,0.10454059292225965,2025-07-08 19:00:00+00:00,2025-07-13 04:00:00+00:00,4 days 09:00:00,,2555.772395833333,2949.50224609375,2555.7621541341146,2954.088260904948
92,-44,4635,4655,2955.97216796875,2973.09765625,,,-3362.31220703125,2608.79072265625,-0.025851456705679333,2025-07-13 04:00:00+00:00,2025-07-14 00:00:00+00:00,0 days 20:00:00,,2949.50224609375,2964.571809895833,2954.088260904948,2962.8678304036457
93,43,4655,4700,2973.09765625,3044.013916015625,,,462.04119384765636,2587.3579760742186,0.003614124151078743,2025-07-14 00:00:00+00:00,2025-07-15 21:00:00+00:00,1 days 21:00:00,,2964.571809895833,3007.882430013021,2962.8678304036457,3007.9393513997397
94,-42,4700,4703,3044.013916015625,3139.986083984375,,,-6628.111054687501,2597.28,-0.05184344497850178,2025-07-15 21:00:00+00:00,2025-07-16 00:00:00+00:00,0 days 03:00:00,,3007.882430013021,3019.7133219401044,3007.9393513997397,3015.9449381510417
95,39,4703,4863,3139.986083984375,3719.80419921875,,,19937.588283691406,2675.318210449219,0.1628097063900516,2025-07-16 00:00:00+00:00,2025-07-22 16:00:00+00:00,6 days 16:00:00,,3019.7133219401044,3736.600048828125,3015.9449381510417,3742.105704752604
96,-38,4863,4928,3719.80419921875,3665.22265625,,,-732.2115722656249,2806.310205078125,-0.0051800375917593865,2025-07-22 16:00:00+00:00,2025-07-25 09:00:00+00:00,2 days 17:00:00,,3736.600048828125,3664.2613932291665,3742.105704752604,3661.9042032877605
97,38,4928,5028,3665.22265625,3852.726806640625,,,4268.336918945312,2856.8207958984376,0.030646066091013738,2025-07-25 09:00:00+00:00,2025-07-29 13:00:00+00:00,4 days 04:00:00,,3664.2613932291665,3821.683870442708,3661.9042032877605,3827.399141438802
98,-37,5028,5067,3852.726806640625,3862.219970703125,,,-3205.7773779296876,2854.5303076171876,-0.02248865185213728,2025-07-29 13:00:00+00:00,2025-07-31 04:00:00+00:00,1 days 15:00:00,,3821.683870442708,3801.1253580729167,3827.399141438802,3799.1945190429688
99,36,5067,5093,3862.219970703125,3674.938232421875,,,-9455.51953125,2713.376953125,-0.06800579001321959,2025-07-31 04:00:00+00:00,2025-08-01 06:00:00+00:00,1 days 02:00:00,,3801.1253580729167,3780.773974609375,3799.1945190429688,3785.5347615559895
100,-36,5093,5165,3674.938232421875,3534.50048828125,,,2460.360849609375,2595.397939453125,0.018597144390248364,2025-08-01 06:00:00+00:00,2025-08-04 06:00:00+00:00,3 days 00:00:00,,3780.773974609375,3490.4391194661457,3785.5347615559895,3483.9022420247397
101,38,5165,5218,3534.50048828125,3615.71435546875,,,369.0453124999999,2717.081640625,0.0027476920097195268,2025-08-04 06:00:00+00:00,2025-08-06 11:00:00+00:00,2 days 05:00:00,,3490.4391194661457,3611.2906412760417,3483.9022420247397,3616.6519775390625
102,-37,5218,5238,3615.71435546875,3695.897216796875,,,-5672.062150878906,2705.2962817382813,-0.04239797782115107,2025-08-06 11:00:00+00:00,2025-08-07 07:00:00+00:00,0 days 20:00:00,,3611.2906412760417,3647.543912760417,3616.6519775390625,3641.9378173828127
103,35,5238,5429,3695.897216796875,4622.67236328125,,,29525.630773925783,2911.499353027344,0.22825024647593092,2025-08-07 07:00:00+00:00,2025-08-15 06:00:00+00:00,7 days 23:00:00,,3647.543912760417,4642.76083984375,3641.9378173828127,4651.499576822916
104,-34,5429,5492,4622.67236328125,4470.23486328125,,,2091.28654296875,3091.58845703125,0.013305815965446301,2025-08-15 06:00:00+00:00,2025-08-17 21:00:00+00:00,2 days 15:00:00,,4642.76083984375,4476.768522135417,4651.499576822916,4467.239607747396
105,36,5492,5509,4470.23486328125,4288.98193359375,,,-9678.423515625,3153.318046875,-0.0601411572050851,2025-08-17 21:00:00+00:00,2025-08-18 14:00:00+00:00,0 days 17:00:00,,4476.768522135417,4418.488330078125,4467.239607747396,4425.841634114583
106,-35,5509,5542,4288.98193359375,4131.427734375,,,2567.2535888671873,2947.1433837890627,0.017101984497659633,2025-08-18 14:00:00+00:00,2025-08-19 23:00:00+00:00,1 days 09:00:00,,4418.488330078125,4248.0913492838545,4425.841634114583,4322.323815917969
